                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0078,                 2.5363,                 1.3531,                0.86003,                0.91967,                0.97382,                0.82517,                0.96987,                0.58718,                 1.0136,                      0,                      0,                      0
                      2,                 1.1241,                 1.9366,                 1.3563,                0.85832,                0.92289,                0.97382,                 0.8249,                0.97287,                0.58734,                 1.0177,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.90903,                  2.959,                 1.3535,                0.85971,                0.92324,                0.97381,                0.82644,                0.97567,                0.58795,                 1.0215,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.99789,                 2.7087,                 1.3885,                0.86096,                0.92301,                0.97381,                0.84295,                0.98462,                0.59461,                 1.0255,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.89532,                   1.52,                 1.1649,                0.86225,                0.92355,                 0.9738,                0.85119,                0.98485,                0.59609,                 1.0276,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.91777,                  2.213,                 1.2542,                0.86548,                0.92239,                0.97093,                0.84424,                0.98682,                0.59823,                 1.0313,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.0588,                 2.3089,                  1.278,                0.86737,                 0.9233,                0.97094,                0.84428,                0.98633,                0.59577,                 1.0328,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.74956,                  1.849,                 1.2376,                0.86813,                0.92392,                0.97094,                0.84417,                0.98788,                0.59741,                 1.0341,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.75397,                  1.234,                  1.149,                 0.8709,                0.92377,                0.97094,                 0.8454,                0.98446,                0.59683,                 1.0337,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.82554,                 1.8605,                  1.292,                0.87273,                 0.9245,                0.97208,                0.84436,                0.98136,                 0.6007,                 1.0336,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.90429,                 1.5377,                 1.1131,                 0.8734,                0.92506,                0.97208,                0.84327,                 0.9831,                0.60186,                 1.0369,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.90585,                 2.3287,                 1.2224,                0.86867,                0.92768,                 0.9721,                0.84342,                0.97854,                0.60798,                 1.0381,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 0.8007,                 1.5168,                 1.1898,                0.86808,                0.92799,                 0.9721,                0.84281,                0.97607,                0.61771,                 1.0386,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.98553,                 2.1182,                 1.3089,                0.86834,                0.92831,                0.97208,                0.84128,                0.97999,                0.62018,                 1.0419,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.71856,                 1.1021,                 1.0453,                 0.8647,                0.93016,                0.97208,                0.84371,                0.98408,                0.62281,                  1.043,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.92339,                 1.9618,                 1.1792,                0.86461,                0.93078,                0.97883,                0.84966,                0.97632,                 0.6337,                 1.0426,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.83894,                 1.2229,                  1.197,                0.86433,                0.93116,                0.97882,                0.85855,                0.98078,                0.63538,                 1.0462,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.71305,                 1.8236,                 1.1608,                0.86433,                0.93116,                0.97882,                0.85855,                0.98078,                0.63538,                 1.0462,             1.6825e-05,             1.6825e-05,             1.6825e-05
